ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
72760241,Photo,Sharp-shinned Hawk,Accipiter striatus,,Greg Cross,2017-10-22,2017,10,22,710,United States,US-CA-065,California,Riverside,Murrieta--Calle Estancia Park,33.5540981,-117.2257941,"",,Unspecified,"","",,,,,,,S40064183,"",,,,SSHA was playing with Kestrel. both about the same size. At first I figured it was two Kestrels.,Accipiter striatus,shshaw,Species,7816,,3.67,3,,865,1213
72566601,Photo,Sharp-shinned Hawk,Accipiter striatus,,Jack Farley,2017-10-21,2017,10,21,630,Canada,CA-ON-TO,Ontario,Toronto,Tommy Thompson Park,43.6276706,-79.3315839,"",,Unspecified,"","",,,,,,,S40045676,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,762,1144
71674571,Photo,Sharp-shinned Hawk,Accipiter striatus,,dawn bayless,2017-10-12,2017,10,12,830,United States,US-KS-091,Kansas,Johnson,dawn bayless,39.0085633,-94.8827147,Immature Female,,Unspecified,"","",,,,,,,S39868386,"",,,Sharp Shinned Hawk,visit feed stations,Accipiter striatus,shshaw,Species,7816,,3.67,3,,3456,4608
71461931,Photo,Sharp-shinned Hawk,Accipiter striatus,,Anonymous,2017-10-10,2017,10,10,745,United States,US-CA-037,California,Los Angeles,Madrona Marsh,33.8286500,-118.3432800,"","",Unspecified,"","",,,,,,,S39814744,"",,,,Perched at about eye-level in the Dog Willows.,Accipiter striatus,shshaw,Species,7816,,3.67,3,No bird,2483,2853
70436681,Photo,Sharp-shinned Hawk,Accipiter striatus,,Gord Gadsden,2017-09-27,2017,9,27,730,Canada,CA-BC-FV,British Columbia,Fraser Valley,Mount Cheam,49.1897222,-121.6772222,"",,Unspecified,"","",,,,,,,S39488152,"",,,,Most flying over but some down low hunting,Accipiter striatus,shshaw,Species,7816,,3.67,3,,535,800
70177411,Photo,Sharp-shinned Hawk,Accipiter striatus,,Jason Talbot,2017-09-27,2017,9,27,920,United States,US-ID-001,Idaho,Ada,Intermountain Bird Observatory at Lucky Peak,43.6056275,-116.0600716,"","",Unspecified,"","",,,,,,,S39433953,"",,,"Cooper's and Sharp-shinned Hawks",,Accipiter striatus,shshaw,Species,7816,,3.67,3,"In-hand; Multiple species",3024,4032
69736591,Photo,Sharp-shinned Hawk,Accipiter striatus,,Tom Reed,2017-09-23,2017,9,23,1537,United States,US-MN-137,Minnesota,St. Louis,Hawk Ridge Nature Reserve,46.8469659,-92.0315212,"",,Unspecified,"","",,,,,,,S39353986,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,3015,4522
69706241,Photo,Sharp-shinned Hawk,Accipiter striatus,,Tom Nolan,2017-09-23,2017,9,23,939,United States,US-NJ-009,New Jersey,Cape May,Cape May Point State Park,38.9327740,-74.9561119,Juvenile,,Unspecified,"","",,,,,,,S39349528,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,3940,3000
69054821,Photo,Sharp-shinned Hawk,Accipiter striatus,,Fran Kerbs,2017-09-16,2017,9,16,1254,Canada,CA-SK-SI,Saskatchewan,Regina,N of Valeport private campground,50.7692265,-104.8683214,"",,Unspecified,"","",,,,,,,S39213569,"",,,,"on woodpile on campsite, then flew to trees on E side of camper.  Measured at wood pile, bird was 9-10"" .",Accipiter striatus,shshaw,Species,7816,,3.67,3,,2210,1624
68878271,Photo,Sharp-shinned Hawk,Accipiter striatus,,Rick Taylor,2017-09-14,2017,9,14,545,United States,US-AZ-003,Arizona,Cochise,Chiricahua Mtns.--Whitetail Canyon,31.9994008,-109.2720124,Immature Male,,Unspecified,"","",,,,,,,S39173943,"",,,Immature.  Small size indicated a male.,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,439,640
67846681,Photo,Sharp-shinned Hawk,Accipiter striatus,,Marco Bouchard,2017-09-03,2017,9,3,700,Canada,CA-QC-LS,Quebec,Lac-Saint-Jean-Est,"Station d'épuration de St-Nazaire",48.5955730,-71.5517710,"",,Unspecified,"","",,,,,,,S38972400,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,3456,5184
67452561,Photo,Sharp-shinned Hawk,Accipiter striatus,,Mark Bartolome Stevens,2017-08-29,2017,8,29,600,United States,US-OR-015,Oregon,Curry,96414 Alder Ridge Rd,42.1151527,-124.3206319,"",,Unspecified,"","",,,,,,,S38902348,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,3116,3047
67217871,Photo,Sharp-shinned Hawk,Accipiter striatus,,Brenda Bull,2016-11-05,2016,11,5,1448,United States,US-MD-005,Maryland,Baltimore,Backyard Maryland,39.5162499,-76.7097777,"",,Unspecified,"","",,,,,,,S38859578,"",,,,Flew over the back yard.,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1128,1401
65591521,Photo,Sharp-shinned Hawk,Accipiter striatus,,Kent Leland,2017-08-08,2017,8,8,1608,United States,US-CA-045,California,Mendocino,Leland House property-1150 King Ranch Rd - 39.2237x-123  .1543,39.2236860,-123.1542520,Immature,,Unspecified,"","",,,,,,,S38553037,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1010,1389
60933281,Photo,Sharp-shinned Hawk,Accipiter striatus,,David Craig,2010-04-20,2010,4,20,1559,United States,US-OR-047,Oregon,Marion,Willamette University,44.9358230,-123.0314255,Juvenile,,Unspecified,"","",,,,,,,S37557041,"",,,Juvenile sharp-shinned hawk in a tree by the Wilamette law school. Photo by Ben Gutzler.,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,1427,1902
59699151,Photo,Sharp-shinned Hawk (Plain-breasted),Accipiter striatus ventralis,,Edison🦉 Ocaña,2017-05-29,2017,5,29,1338,Ecuador,EC-P,Pichincha,,cochapamba sur,-0.1592941,-78.5031724,"",,Unspecified,"","",,,,,,,S37243997,"",,,,,Accipiter striatus,shshaw4,Group,7827,,3.67,3,,3456,4608
56326121,Photo,Sharp-shinned Hawk,Accipiter striatus,,Tom Murray,2017-04-29,2017,4,29,1017,United States,US-MA-017,Massachusetts,Middlesex,Groton yard,42.6033373,-71.6162467,"",,Unspecified,"","",,,,,,,S36396415,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,805,1050
56191461,Photo,Sharp-shinned Hawk,Accipiter striatus,,Todd Norris,2017-04-29,2017,4,29,1710,Canada,CA-ON-FR,Ontario,Frontenac,Tree Frog Farm,44.5171948,-76.6977882,"","",Unspecified,"","",,,,,,,S36402572,"",,,,"SSHA captured a female Red-winged Blackbird.  It's rough in the wild.",Accipiter striatus,shshaw,Species,7816,,3.67,3,Multiple species,1184,1600
56105881,Photo,Sharp-shinned Hawk,Accipiter striatus,,Larry Hall,2017-04-23,2017,4,23,730,United States,US-NY-043,New York,Herkimer,Hall Farmhouse & Yards,43.1227109,-74.7972608,"",,Unspecified,"","",,,,,,,S36379401,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,2448,3264
55075431,Photo,Sharp-shinned Hawk,Accipiter striatus,,Tony Godfrey,2007-02-10,2007,2,10,0,United States,US-AZ-027,Arizona,Yuma,Tacna Migrant Trap,32.7127114,-113.9035892,"",,Unspecified,"","",,,,,,,S36105016,"",,,,,Accipiter striatus,shshaw,Species,7816,,3.67,3,,467,700
