ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
388563741,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,3.00,2,,2346,1978
388563731,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,2.50,2,,2291,2834
388563721,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,.00,0,,1557,1168
388563711,Photo,Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,,Amy Andersen,2021-11-16,2021,11,16,1220,Canada,CA-ON-MI,Ontario,Middlesex,London--Northdale Woods,43.0428846,-81.2534931,"",,Unspecified,"","",,,,,,,S97672171,"",,,,,Buteo jamaicensis,rethaw4,Form,8099,,.00,0,,2394,2141
388561561,Photo,Red-tailed Hawk,Buteo jamaicensis,,David Barton,2021-11-15,2021,11,15,945,United States,US-CA-037,California,Los Angeles,California Aqueduct--300th St. W ,34.8080247,-118.6610985,"",,Unspecified,"","",,,,,,,S97669211,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,2.00,1,,1621,2312
388560991,Photo,Red-tailed Hawk,Buteo jamaicensis,,John Swenfurth,2021-11-16,2021,11,16,1115,United States,US-FL-103,Florida,Pinellas,Possum Branch Preserve,28.0454136,-82.7083611,"",,Unspecified,"","",,,,,,,S97666875,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,1789,2681
388560981,Photo,Red-tailed Hawk,Buteo jamaicensis,,John Swenfurth,2021-11-16,2021,11,16,1115,United States,US-FL-103,Florida,Pinellas,Possum Branch Preserve,28.0454136,-82.7083611,"",,Unspecified,"","",,,,,,,S97666875,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,5.00,1,,1549,2320
388560951,Photo,Red-tailed Hawk,Buteo jamaicensis,,John Swenfurth,2021-11-16,2021,11,16,1115,United States,US-FL-103,Florida,Pinellas,Possum Branch Preserve,28.0454136,-82.7083611,"",,Unspecified,"","",,,,,,,S97666875,"",,,,,Buteo jamaicensis,rethaw,Species,8094,,5.00,1,,1529,2291
388558511,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jenny  Pizzey,2021-11-16,2021,11,16,1332,Canada,CA-ON-BN,Ontario,Brant,"110 Gilkison Street, Brantford, Ontario, CA (43.134, -80.268)",43.1339360,-80.2683706,"",,Unspecified,"","",,,,,,,S97669082,"",,,,As I crossed the Plywood Patch bridge the hawk flew over and perched on top of a light post. Sat there for about 5 mns shifting around and observing until flying away.,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,592,545
388558471,Photo,Red-tailed Hawk,Buteo jamaicensis,,Jenny  Pizzey,2021-11-16,2021,11,16,1332,Canada,CA-ON-BN,Ontario,Brant,"110 Gilkison Street, Brantford, Ontario, CA (43.134, -80.268)",43.1339360,-80.2683706,"",,Unspecified,"","",,,,,,,S97669082,"",,,,As I crossed the Plywood Patch bridge the hawk flew over and perched on top of a light post. Sat there for about 5 mns shifting around and observing until flying away.,Buteo jamaicensis,rethaw,Species,8094,,.00,0,,739,634
